date,state,city,address,killed,injured,incident
"June 5, 2016",Arizona,Phoenix,8152 N Black Canyon Hwy,2,4,http://www.gunviolencearchive.org/incident/572766
"June 5, 2016",New York,Brooklyn,Mermaid Ave and 16th St.,0,4,http://www.gunviolencearchive.org/incident/572513
"June 4, 2016",Colorado,Denver,3600 block of Hudson Street,3,1,http://www.gunviolencearchive.org/incident/571859
"May 31, 2016",Illinois,Chicago,3300 block of West Huron Street,0,4,http://www.gunviolencearchive.org/incident/569225
"May 31, 2016",Indiana,Fort Wayne,6600 block of Pawawna Drive,0,4,http://www.gunviolencearchive.org/incident/569189
"May 30, 2016",Maryland,Baltimore,500 block of East 43rd Street,0,5,http://www.gunviolencearchive.org/incident/568528
"May 30, 2016",California,Sacramento,3900 block of 44th,0,5,http://www.gunviolencearchive.org/incident/568745
"May 29, 2016",Nevada,Las Vegas,200 block of N 3rd St,0,4,http://www.gunviolencearchive.org/incident/567788
"May 29, 2016",New Jersey,Trenton,600 block of Martin Luther King Jr. Boulevard,0,6,http://www.gunviolencearchive.org/incident/567673
"May 29, 2016",Indiana,Indianapolis,300 block of South Meridian Street,0,4,http://www.gunviolencearchive.org/incident/567494
"May 29, 2016",Texas,Houston,13210 Memorial Drive,2,6,http://www.gunviolencearchive.org/incident/567614
"May 23, 2016",New Jersey,Newark,102 Isabella Avenue,0,5,http://www.gunviolencearchive.org/incident/564470
"May 22, 2016",Louisiana,New Orleans,8639 Apple St,0,4,http://www.gunviolencearchive.org/incident/563829
"May 22, 2016",California,Stockton,Poplar and Sutter Streets,1,3,http://www.gunviolencearchive.org/incident/563514
"May 22, 2016",Tennessee,Nashville,100 block of Rains Avenue,0,4,http://www.gunviolencearchive.org/incident/563751
"May 21, 2016",Georgia,Jackson,Levi Barnes Road,1,3,http://www.gunviolencearchive.org/incident/563630
"May 18, 2016",Indiana,Indianapolis,34th Street and North Keystone Avenue,0,4,http://www.gunviolencearchive.org/incident/561912
"May 17, 2016",South Carolina,Ravenel,5360 Savannah Highway,3,1,http://www.gunviolencearchive.org/incident/560782
"May 15, 2016",Indiana,Evansville,420 North Garvin Street,0,4,http://www.gunviolencearchive.org/incident/559194
"May 15, 2016",Georgia,Moultrie,Rossman Dairy Road,5,0,http://www.gunviolencearchive.org/incident/565244
"May 14, 2016",Georgia,Atlanta,Cordova and Peoples Street,0,5,http://www.gunviolencearchive.org/incident/559042
"May 14, 2016",West Virginia,Charleston,2337 Washington St W,1,3,http://www.gunviolencearchive.org/incident/558796
"May 11, 2016",Alabama,Birmingham,1400 block of 21st Street N,1,4,http://www.gunviolencearchive.org/incident/557589
"May 11, 2016",Illinois,Chicago,7100 block of South State Street,0,5,http://www.gunviolencearchive.org/incident/557479
"May 8, 2016",Texas,Austin,8600 block of North Lamar,1,3,http://www.gunviolencearchive.org/incident/555126
"May 6, 2016",Michigan,Detroit,12300 block of Gratiot,1,4,http://www.gunviolencearchive.org/incident/555873
"May 6, 2016",Alabama,Montgomery,1300 block of Clay Street,1,3,http://www.gunviolencearchive.org/incident/555886
"May 6, 2016",Maryland,Bethesda,7101 Democracy Blvd,3,3,http://www.gunviolencearchive.org/incident/554133
"May 5, 2016",Louisiana,Shreveport,300 block of North Thomas Drive,2,6,http://www.gunviolencearchive.org/incident/553803
"May 5, 2016",Florida,Miami,2108 NW 19th Terrace,1,3,http://www.gunviolencearchive.org/incident/554027
"May 4, 2016",Minnesota,Minneapolis,16th Avenue North and Newton Avenue North,1,7,http://www.gunviolencearchive.org/incident/553570
"May 1, 2016",Tennessee,Murfreesboro,1955 Old Castle Drive,0,5,http://www.gunviolencearchive.org/incident/551053
"April 29, 2016",Missouri,Saint Louis (Ferguson),400 block of N Dade Ave,0,4,http://www.gunviolencearchive.org/incident/550445
"April 29, 2016",California,Oakland,3200 block of San Pablo Avenue,0,5,http://www.gunviolencearchive.org/incident/550619
"April 27, 2016",Louisiana,Baton Rouge,4300 Block of Kerrit Dr,2,2,http://www.gunviolencearchive.org/incident/549507
"April 27, 2016",Mississippi,Kilmichael,Pecan Drive,3,1,http://www.gunviolencearchive.org/incident/549071
"April 26, 2016",Maryland,District Heights (Forestville),6500 block of Hil-Mar Drive,1,4,http://www.gunviolencearchive.org/incident/548333
"April 25, 2016",Tennessee,Nashville,400 Charlotte Avenue,0,4,http://www.gunviolencearchive.org/incident/547639
"April 25, 2016",Florida,Miami,1506 Northwest 70th Street,0,5,http://www.gunviolencearchive.org/incident/547827
"April 24, 2016",Virginia,Halifax,1055 L P Bailey Memorial Hwy,0,5,http://www.gunviolencearchive.org/incident/546760
"April 24, 2016",Illinois,Chicago (Englewood),2000 block of West 68th Place,2,3,http://www.gunviolencearchive.org/incident/547319
"April 24, 2016",Colorado,Denver,1400 block of 14th Street,0,4,http://www.gunviolencearchive.org/incident/546818
"April 23, 2016",Nevada,Las Vegas,1650 South Hollywood Boulevard,1,3,http://www.gunviolencearchive.org/incident/546581
"April 23, 2016",Alabama,Auburn,1200 block of Lee Road 83,3,1,http://www.gunviolencearchive.org/incident/546244
"April 23, 2016",Kansas,Topeka,3732 S.W. Topeka Boulevard,1,4,http://www.gunviolencearchive.org/incident/546550
"April 23, 2016",New York,New York (Manhattan),West 141st Street and Edgecombe Avenue,0,4,http://www.gunviolencearchive.org/incident/546258
"April 22, 2016",Ohio,Piketon,4077 Union Hill Road,8,0,http://www.gunviolencearchive.org/incident/545525
"April 22, 2016",Georgia,Appling,3162 Johnson Drive,6,0,http://www.gunviolencearchive.org/incident/546022
"April 21, 2016",Maryland,Baltimore,4800 block of Frankford Avenue,0,4,http://www.gunviolencearchive.org/incident/545501
"April 19, 2016",Alabama,Blountsville,81551 Us Highway 278,1,4,http://www.gunviolencearchive.org/incident/543441
"April 19, 2016",Illinois,Chicago,2700 block of West 53rd Street,1,3,http://www.gunviolencearchive.org/incident/544080
"April 19, 2016",Illinois,Chicago,1400 block of West 84th Street,1,4,http://www.gunviolencearchive.org/incident/543132
"April 18, 2016",California,Long Beach,1200 block of E. 17th Street,1,3,http://www.gunviolencearchive.org/incident/543244
"April 17, 2016",Pennsylvania,Philadelphia,600 block of Westmoreland Street,3,1,http://www.gunviolencearchive.org/incident/541996
"April 17, 2016",South Carolina,Pelzer,200 block of Eastview Road,1,3,http://www.gunviolencearchive.org/incident/543102
"April 17, 2016",Texas,Edinburg,5021 W St Hwy 107,1,6,http://www.gunviolencearchive.org/incident/543108
"April 16, 2016",Michigan,Detroit,9500 block of Oakland,1,4,http://www.gunviolencearchive.org/incident/542259
"April 16, 2016",Florida,Orlando,1100 block of Conley Street,2,4,http://www.gunviolencearchive.org/incident/541987
"April 16, 2016",Alabama,Enterprise,Baxter Street,0,4,http://www.gunviolencearchive.org/incident/542362
"April 10, 2016",Wisconsin,Milwaukee,76th and Sheridan,1,3,http://www.gunviolencearchive.org/incident/537825
"April 10, 2016",California,Los Angeles,84th Street and Towne Avenue,0,4,http://www.gunviolencearchive.org/incident/537820
"April 9, 2016",Tennessee,Memphis,Mt Moriah Road and Ridgeway Road,0,4,http://www.gunviolencearchive.org/incident/537311
"April 9, 2016",Alabama,Anniston,West 15th Street and Crawford Avenue,0,4,http://www.gunviolencearchive.org/incident/539705
"April 9, 2016",New Mexico,Albuquerque,2600 block of Mesa Drive SE,0,4,http://www.gunviolencearchive.org/incident/537085
