date,killed,injured,victims,state,city,address,incident,geolocation,congresional_district,assault_weapon,rifle,handgun_general,handgun_specific
2017-06-15,5,0,5,New Mexico,La Madera,491 NM 111,http://www.gunviolencearchive.org/incident/868363,"36.384, -106.041",Congressional District: 3,NA,NA,NA,NA
2017-06-14,0,4,4,Ohio,Canton,14th St. NE and Gibbs Ave. NE,http://www.gunviolencearchive.org/incident/868147,"40.8113, -81.3627",Congressional District: 7,NA,NA,NA,NA
2017-06-14,1,5,6,Virginia,Alexandria,420 E Monroe Ave,http://www.gunviolencearchive.org/incident/866739,"38.8207, -77.0558",Congressional District: 8,Assault weapon,AR-15,handgun,9mm
2017-06-14,4,2,6,California,San Francisco,720 San Bruno,http://www.gunviolencearchive.org/incident/866933,"37.7596, -122.405",Congressional District: 12,Assault weapon,AR-15,NA,NA
2017-06-13,0,4,4,Maryland,Baltimore,3300 block of Ayrdale Avenue,http://www.gunviolencearchive.org/incident/866412,"39.3262, -76.6814",Congressional District: 7,NA,NA,NA,NA
2017-06-13,2,2,4,Maryland,Baltimore,1200 block of Bonaparte Avenue,http://www.gunviolencearchive.org/incident/866448,"39.3154, -76.6",Congressional District: 7,NA,NA,NA,NA
2017-06-13,0,4,4,Missouri,Saint Louis (University City),Ferguson Ave and Plymouth Ave,http://www.gunviolencearchive.org/incident/869474,"38.6692, -90.31",Congressional District: 1,NA,NA,NA,NA
2017-06-11,0,9,9,Illinois,Chicago,3300 block of W Douglas Blvd,http://www.gunviolencearchive.org/incident/864743,"41.8633, -87.7082",Congressional District: 7,NA,NA,NA,NA
2017-06-11,0,4,4,Tennessee,Chattanooga,4272 Bonny Oaks Drive,http://www.gunviolencearchive.org/incident/864852,"35.0803, -85.2137",Congressional District: 3,NA,NA,NA,NA
2017-06-11,0,4,4,Texas,Houston,505 Cypress Station Dr,http://www.gunviolencearchive.org/incident/865371,"30.032, -95.4374",Congressional District: 18,NA,NA,NA,NA
2017-06-10,0,4,4,Tennessee,Memphis,571 East Street,http://www.gunviolencearchive.org/incident/865186,"35.131, -90.0311",Congressional District: 9,NA,NA,NA,NA
2017-06-09,2,5,7,Texas,Fort Worth,East Davis Avenue and New York Avenue,http://www.gunviolencearchive.org/incident/864370,"32.7209, -97.3157",Congressional District: 33,NA,NA,NA,NA
2017-06-08,0,6,6,Louisiana,New Orleans,3650 Franklin Ave,http://www.gunviolencearchive.org/incident/863075,"29.9962, -90.0499",Congressional District: 2,NA,NA,NA,NA
