date,killed,injured,victims,state,city,address,incident,geolocation,congresional_district,assault_weapon,rifle,handgun_general,handgun_specific
2016-06-26,1,3,4,Texas,Houston,6000 block of Elm Street,http://www.gunviolencearchive.org/incident/589165,"29.7128, -95.487",Congressional District: 7,NA,NA,NA,NA
2016-06-26,0,4,4,Texas,Corpus Christi,Baldwin Blvd and Lamar,http://www.gunviolencearchive.org/incident/588918,"27.7741, -97.4214",Congressional District: 27,NA,NA,Handgun,NA
2016-06-26,0,5,5,North Carolina,Charlotte,2240 Camp Greene St.,http://www.gunviolencearchive.org/incident/589159,"35.2253, -80.8848",Congressional District: 12,NA,NA,NA,NA
2016-06-25,2,5,7,Texas,Fort Worth,2466 East Lancaster Avenue,http://www.gunviolencearchive.org/incident/587755,"32.7442, -97.2918",Congressional District: 33,NA,NA,NA,NA
2016-06-25,0,4,4,Virginia,Norfolk,700 block of Craig Street,http://www.gunviolencearchive.org/incident/589470,"36.8282, -76.2786",Congressional District: 3,NA,NA,NA,NA
2016-06-25,0,4,4,Illinois,Chicago,1400 block of W. 114th Place,http://www.gunviolencearchive.org/incident/587983,"41.686, -87.6569",Congressional District: 1,NA,NA,NA,NA
2016-06-24,0,4,4,Kansas,Kansas City,N. 3rd and Walker,http://www.gunviolencearchive.org/incident/589046,"39.1233, -94.6161",Congressional District: 3,NA,NA,NA,NA
2016-06-24,0,5,5,Connecticut,Hartford,Brook and Winter Street,http://www.gunviolencearchive.org/incident/587735,"41.7792, -72.6831",Congressional District: 1,NA,NA,NA,NA
2016-06-24,3,2,5,Maryland,District Heights,3100 block of Orleans Ave,http://www.gunviolencearchive.org/incident/587769,"38.8454, -76.878",Congressional District: 4,NA,NA,NA,NA
2016-06-22,3,1,4,Washington,Olympia,500 block of Dutterow Road SE,http://www.gunviolencearchive.org/incident/585821,"47.0538, -122.741",Congressional District: 10,NA,NA,Handgun,NA
2016-06-22,1,4,5,Georgia,Dekalb (county),Lancashire Drive and Central Drive,http://www.gunviolencearchive.org/incident/586122,"33.8116, -84.1882",Congressional District: 4,NA,NA,NA,NA
2016-06-22,0,4,4,Illinois,Chicago,3100 block of West Warren,http://www.gunviolencearchive.org/incident/586058,"41.8819, -87.7038",Congressional District: 7,NA,NA,NA,NA
2016-06-21,0,4,4,New Jersey,Willingboro,Mosshill Lane,http://www.gunviolencearchive.org/incident/586044,"40.031, -74.8924",Congressional District: 3,NA,NA,NA,NA
2016-06-21,2,2,4,Kentucky,Louisville,2802 Rodman Street,http://www.gunviolencearchive.org/incident/585615,"38.2091, -85.77",Congressional District: 3,NA,NA,NA,NA
2016-06-19,0,4,4,Virginia,Roanoke,2328 Melrose Avenue,http://www.gunviolencearchive.org/incident/583631,"37.2858, -79.9747",Congressional District: 6,NA,NA,NA,NA
2016-06-18,1,3,4,Virginia,Exmore,Fredrick Douglas Road,http://www.gunviolencearchive.org/incident/583584,"37.5318, -75.823",Congressional District: 2,NA,NA,NA,NA
2016-06-18,2,2,4,Georgia,Waycross,2625 Arnold Ct,http://www.gunviolencearchive.org/incident/583537,"31.2201, -82.3634",Congressional District: 1,NA,NA,NA,NA
2016-06-18,0,4,4,Illinois,Chicago,East 79th Street and South Escanaba Avenue,http://www.gunviolencearchive.org/incident/583362,"41.7519, -87.554",Congressional District: 2,NA,NA,NA,NA
2016-06-14,0,4,4,Delaware,Wilmington,South Van Buren and Elm streets,http://www.gunviolencearchive.org/incident/580848,"39.7408, -75.5646",Congressional District: 1,NA,NA,NA,NA
2016-06-14,1,3,4,California,Oakland,1301 Franklin Street,http://www.gunviolencearchive.org/incident/580791,"37.8033, -122.27",Congressional District: 13,NA,NA,NA,NA
2016-06-13,0,4,4,California,Fresno,East El Monte Way and Recreation Avenue,http://www.gunviolencearchive.org/incident/579517,"36.735, -119.739",Congressional District: 16,NA,NA,NA,NA
2016-06-13,0,5,5,New York,Brooklyn,Avenue D and E. 57th,http://www.gunviolencearchive.org/incident/579786,"40.6427, -73.9226",Congressional District: 9,NA,NA,Handgun,NA
2016-06-13,0,5,5,Illinois,Chicago,3200 block of West Congress,http://www.gunviolencearchive.org/incident/580279,"41.8749, -87.706",Congressional District: 7,NA,NA,NA,NA
2016-06-12,50,53,103,Florida,Orlando,1912 S Orange Avenue,http://www.gunviolencearchive.org/incident/577157,"28.5195, -81.3767",Congressional District: 5,Assault weapon,AR-15,NA,9mm
2016-06-11,5,0,5,New Mexico,Roswell,2300 block of Davis Ave,http://www.gunviolencearchive.org/incident/577574,"33.4196, -104.518",Congressional District: 2,NA,NA,NA,NA
2016-06-11,0,4,4,Minnesota,Webster,4000 block of Elmore Avenue,http://www.gunviolencearchive.org/incident/578238,"44.5298, -93.3729",Congressional District: 1,NA,NA,NA,NA
2016-06-11,1,3,4,California,Stockton,Alvarado Avenue,http://www.gunviolencearchive.org/incident/577938,"37.9874, -121.291",Congressional District: 9,NA,NA,NA,NA
2016-06-11,3,2,5,California,Panorama City,8500 block of Cedros Avenue,http://www.gunviolencearchive.org/incident/577073,"34.2248, -118.454",Congressional District: 29,NA,NA,NA,NA
2016-06-11,1,3,4,North Carolina,Charlotte,4000 block of Collegiate Avenue,http://www.gunviolencearchive.org/incident/576774,"35.3242, -80.7105",Congressional District: 12,NA,NA,NA,NA
2016-06-09,0,4,4,Florida,Fort Walton Beach,Landview Drive,http://www.gunviolencearchive.org/incident/575607,"30.462, -86.649",Congressional District: 1,NA,NA,NA,NA
2016-06-08,0,4,4,District of Columbia,Washington,North Capitol Street and New York Avenue NW,http://www.gunviolencearchive.org/incident/574850,"38.8964, -77.0403",Congressional District: 1,NA,NA,NA,NA
2016-06-08,1,3,4,Massachusetts,Boston,66 Washington St,http://www.gunviolencearchive.org/incident/574753,"42.3735, -71.0661",Congressional District: 7,NA,NA,NA,NA
2016-06-06,0,4,4,California,Visalia,33 60 South Fairway Street,http://www.gunviolencearchive.org/incident/573327,"36.3306, -119.311",Congressional District: 22,NA,NA,NA,NA
2016-06-05,0,4,4,Minnesota,Minneapolis,8th and Humboldt Avenue N.,http://www.gunviolencearchive.org/incident/575061,"44.9863, -93.2982",Congressional District: 5,NA,NA,NA,NA
2016-06-05,3,3,6,Florida,Cape Coral,2600 block of Skyline Boulevard S,http://www.gunviolencearchive.org/incident/572696,"26.6037, -81.9908",Congressional District: 19,NA,NA,NA,NA
2016-06-05,2,4,6,Arizona,Phoenix,8152 N Black Canyon Hwy,http://www.gunviolencearchive.org/incident/572766,"33.5558, -112.113",Congressional District: 9,NA,NA,NA,NA
2016-06-05,0,4,4,New York,Brooklyn,Mermaid Ave and 16th St.,http://www.gunviolencearchive.org/incident/572513,"40.5767, -73.9837",Congressional District: 8,NA,NA,NA,NA
2016-06-04,3,1,4,Colorado,Denver,3600 block of Hudson Street,http://www.gunviolencearchive.org/incident/571859,"39.7674, -104.923",Congressional District: 1,NA,NA,NA,NA
2016-05-31,0,4,4,Illinois,Chicago,3300 block of West Huron Street,http://www.gunviolencearchive.org/incident/569225,"41.8937, -87.7089",Congressional District: 7,NA,NA,NA,NA
2016-05-31,0,4,4,Indiana,Fort Wayne,6600 block of Pawawna Drive,http://www.gunviolencearchive.org/incident/569189,"41.1059, -85.0571",Congressional District: 3,NA,NA,NA,NA
2016-05-30,0,5,5,Maryland,Baltimore,500 block of East 43rd Street,http://www.gunviolencearchive.org/incident/568528,"39.3412, -76.609",Congressional District: 7,NA,NA,NA,NA
2016-05-30,0,5,5,California,Sacramento,3900 block of 44th,http://www.gunviolencearchive.org/incident/568745,"38.5131, -121.463",Congressional District: 6,NA,NA,NA,NA
2016-05-29,0,4,4,Nevada,Las Vegas,200 block of N 3rd St,http://www.gunviolencearchive.org/incident/567788,"36.172, -115.141",Congressional District: 1,NA,NA,Handgun,NA
2016-05-29,0,6,6,New Jersey,Trenton,600 block of Martin Luther King Jr. Boulevard,http://www.gunviolencearchive.org/incident/567673,"40.2294, -74.7632",Congressional District: 12,NA,NA,NA,NA
2016-05-29,0,4,4,Indiana,Indianapolis,300 block of South Meridian Street,http://www.gunviolencearchive.org/incident/567494,"39.7623, -86.1583",Congressional District: 7,NA,NA,NA,NA
2016-05-29,2,6,8,Texas,Houston,13210 Memorial Drive,http://www.gunviolencearchive.org/incident/567614,"29.7727, -95.5745",Congressional District: 7,Assault weapon,AR-15,Handgun,NA
2016-05-23,0,5,5,New Jersey,Newark,102 Isabella Avenue,http://www.gunviolencearchive.org/incident/564470,"40.7404, -74.2215",Congressional District: 10,NA,NA,NA,NA
2016-05-22,0,4,4,Louisiana,New Orleans,8639 Apple St,http://www.gunviolencearchive.org/incident/563829,"29.9613, -90.1235",Congressional District: 2,NA,NA,NA,NA
2016-05-22,1,3,4,California,Stockton,Poplar and Sutter Streets,http://www.gunviolencearchive.org/incident/563514,"37.9623, -121.288",Congressional District: 9,NA,NA,NA,NA
2016-05-22,0,4,4,Tennessee,Nashville,100 block of Rains Avenue,http://www.gunviolencearchive.org/incident/563751,"36.1401, -86.7638",Congressional District: 5,NA,NA,NA,NA
2016-05-21,1,3,4,Georgia,Jackson,Levi Barnes Road,http://www.gunviolencearchive.org/incident/563630,"33.2598, -84.0274",Congressional District: 10,NA,NA,NA,NA
2016-05-18,0,4,4,Indiana,Indianapolis,34th Street and North Keystone Avenue,http://www.gunviolencearchive.org/incident/561912,"39.8181, -86.1217",Congressional District: 7,NA,NA,NA,NA
2016-05-17,3,1,4,South Carolina,Ravenel,5360 Savannah Highway,http://www.gunviolencearchive.org/incident/560782,"32.7849, -80.2037",Congressional District: 6,NA,NA,NA,NA
2016-05-15,0,4,4,Indiana,Evansville,420 North Garvin Street,http://www.gunviolencearchive.org/incident/559194,"37.9812, -87.5567",Congressional District: 8,NA,NA,NA,NA
2016-05-15,5,0,5,Georgia,Moultrie,Rossman Dairy Road,http://www.gunviolencearchive.org/incident/565244,"31.2124, -83.8518",Congressional District: 8,NA,NA,NA,NA
2016-05-14,0,5,5,Georgia,Atlanta,Cordova and Peoples Street,http://www.gunviolencearchive.org/incident/559042,"33.749, -84.388",Congressional District: 5,NA,NA,NA,NA
2016-05-14,1,3,4,West Virginia,Charleston,2337 Washington St W,http://www.gunviolencearchive.org/incident/558796,"38.3767, -81.6749",Congressional District: 2,NA,NA,NA,NA
2016-05-11,1,4,5,Alabama,Birmingham,1400 block of 21st Street N,http://www.gunviolencearchive.org/incident/557589,"33.5313, -86.8143",Congressional District: 7,NA,NA,NA,NA
2016-05-11,0,5,5,Illinois,Chicago,7100 block of South State Street,http://www.gunviolencearchive.org/incident/557479,"41.7639, -87.6249",Congressional District: 1,NA,NA,NA,NA
2016-05-08,1,3,4,Texas,Austin,8600 block of North Lamar,http://www.gunviolencearchive.org/incident/555126,"30.3546, -97.7047",Congressional District: 35,NA,NA,NA,NA
2016-05-06,1,4,5,Michigan,Detroit,12300 block of Gratiot,http://www.gunviolencearchive.org/incident/555873,"42.416, -82.9897",Congressional District: 14,NA,NA,NA,NA
2016-05-06,1,3,4,Alabama,Montgomery,1300 block of Clay Street,http://www.gunviolencearchive.org/incident/555886,"32.3757, -86.3333",Congressional District: 2,NA,NA,NA,NA
2016-05-06,3,3,6,Maryland,Bethesda,7101 Democracy Blvd,http://www.gunviolencearchive.org/incident/554133,"39.0224, -77.1485",Congressional District: 6,NA,NA,Handgun,NA
2016-05-05,2,6,8,Louisiana,Shreveport,300 block of North Thomas Drive,http://www.gunviolencearchive.org/incident/553803,"32.5389, -93.7635",Congressional District: 4,NA,NA,NA,NA
2016-05-05,1,3,4,Florida,Miami,2108 NW 19th Terrace,http://www.gunviolencearchive.org/incident/554027,"25.7937, -80.2306",Congressional District: 27,NA,NA,NA,NA
2016-05-04,1,7,8,Minnesota,Minneapolis,16th Avenue North and Newton Avenue North,http://www.gunviolencearchive.org/incident/553570,"44.9952, -93.3057",Congressional District: 5,NA,NA,Handgun,NA
2016-05-01,0,5,5,Tennessee,Murfreesboro,1955 Old Castle Drive,http://www.gunviolencearchive.org/incident/551053,"35.8314, -86.349",Congressional District: 4,NA,NA,NA,NA
2016-04-29,0,4,4,Missouri,Saint Louis (Ferguson),400 block of N Dade Ave,http://www.gunviolencearchive.org/incident/550445,"38.7521, -90.315",Congressional District: 1,NA,NA,NA,NA
2016-04-29,0,5,5,California,Oakland,3200 block of San Pablo Avenue,http://www.gunviolencearchive.org/incident/550619,"37.8226, -122.277",Congressional District: 13,NA,NA,NA,NA
2016-04-27,2,2,4,Louisiana,Baton Rouge,4300 Block of Kerrit Dr,http://www.gunviolencearchive.org/incident/549507,"30.4903, -91.0872",Congressional District: 6,NA,NA,NA,NA
2016-04-27,3,1,4,Mississippi,Kilmichael,Pecan Drive,http://www.gunviolencearchive.org/incident/549071,"33.435, -89.5726",Congressional District: 2,NA,NA,NA,NA
2016-04-26,1,4,5,Maryland,District Heights (Forestville),6500 block of Hil-Mar Drive,http://www.gunviolencearchive.org/incident/548333,"38.8432, -76.8954",Congressional District: 4,NA,NA,NA,NA
2016-04-25,0,4,4,Tennessee,Nashville,400 Charlotte Avenue,http://www.gunviolencearchive.org/incident/547639,"36.1664, -86.7807",Congressional District: 5,NA,NA,Handgun,NA
2016-04-25,0,5,5,Florida,Miami,1506 Northwest 70th Street,http://www.gunviolencearchive.org/incident/547827,"25.8383, -80.2242",Congressional District: 24,NA,NA,NA,NA
2016-04-24,0,5,5,Virginia,Halifax,1055 L P Bailey Memorial Hwy,http://www.gunviolencearchive.org/incident/546760,"36.7755, -78.9208",Congressional District: 5,NA,NA,NA,NA
2016-04-24,2,3,5,Illinois,Chicago (Englewood),2000 block of West 68th Place,http://www.gunviolencearchive.org/incident/547319,"41.7696, -87.6739",Congressional District: 7,NA,NA,NA,NA
2016-04-24,0,4,4,Colorado,Denver,1400 block of 14th Street,http://www.gunviolencearchive.org/incident/546818,"39.748, -105.001",Congressional District: 1,NA,NA,NA,NA
2016-04-23,1,3,4,Nevada,Las Vegas,1650 South Hollywood Boulevard,http://www.gunviolencearchive.org/incident/546581,"36.1548, -115.019",Congressional District: 4,NA,NA,NA,NA
2016-04-23,3,1,4,Alabama,Auburn,1200 block of Lee Road 83,http://www.gunviolencearchive.org/incident/546244,"32.5873, -85.6088",Congressional District: 3,NA,NA,NA,NA
2016-04-23,1,4,5,Kansas,Topeka,3732 S.W. Topeka Boulevard,http://www.gunviolencearchive.org/incident/546550,"38.9988, -95.687",Congressional District: 2,NA,NA,NA,NA
2016-04-23,0,4,4,New York,New York (Manhattan),West 141st Street and Edgecombe Avenue,http://www.gunviolencearchive.org/incident/546258,"40.8209, -73.9452",Congressional District: 13,NA,NA,NA,NA
2016-04-22,8,0,8,Ohio,Piketon,4077 Union Hill Road,http://www.gunviolencearchive.org/incident/545525,"39.0201, -83.275",Congressional District: 2,NA,NA,NA,NA
2016-04-22,6,0,6,Georgia,Appling,3162 Johnson Drive,http://www.gunviolencearchive.org/incident/546022,"33.5989, -82.2244",Congressional District: 10,NA,NA,NA,NA
2016-04-21,0,4,4,Maryland,Baltimore,4800 block of Frankford Avenue,http://www.gunviolencearchive.org/incident/545501,"39.3325, -76.545",Congressional District: 2,NA,NA,NA,NA
2016-04-19,1,4,5,Alabama,Blountsville,81551 Us Highway 278,http://www.gunviolencearchive.org/incident/543441,"34.1597, -86.4686",Congressional District: 4,NA,NA,NA,NA
2016-04-19,1,3,4,Illinois,Chicago,2700 block of West 53rd Street,http://www.gunviolencearchive.org/incident/544080,"41.7974, -87.6915",Congressional District: 4,NA,NA,NA,NA
2016-04-19,1,4,5,Illinois,Chicago,1400 block of West 84th Street,http://www.gunviolencearchive.org/incident/543132,"41.7414, -87.6584",Congressional District: 1,NA,NA,NA,NA
2016-04-18,1,3,4,California,Long Beach,1200 block of E. 17th Street,http://www.gunviolencearchive.org/incident/543244,"33.7879, -118.176",Congressional District: 47,NA,NA,NA,NA
2016-04-17,3,1,4,Pennsylvania,Philadelphia,600 block of Westmoreland Street,http://www.gunviolencearchive.org/incident/541996,"40.0016, -75.1402",Congressional District: 2,NA,NA,NA,NA
2016-04-17,1,3,4,South Carolina,Pelzer,200 block of Eastview Road,http://www.gunviolencearchive.org/incident/543102,"34.6459, -82.4371",Congressional District: 3,NA,NA,NA,NA
2016-04-17,1,6,7,Texas,Edinburg,5021 W St Hwy 107,http://www.gunviolencearchive.org/incident/543108,"26.3058, -98.1924",Congressional District: 15,NA,NA,NA,NA
2016-04-16,1,4,5,Michigan,Detroit,9500 block of Oakland,http://www.gunviolencearchive.org/incident/542259,"42.3882, -83.0742",Congressional District: 13,NA,NA,NA,NA
2016-04-16,2,4,6,Florida,Orlando,1100 block of Conley Street,http://www.gunviolencearchive.org/incident/541987,"28.5329, -81.3937",Congressional District: 5,NA,NA,handgun,NA
2016-04-16,0,4,4,Alabama,Enterprise,Baxter Street,http://www.gunviolencearchive.org/incident/542362,"31.3036, -85.8152",Congressional District: 2,NA,NA,NA,NA
2016-04-10,1,3,4,Wisconsin,Milwaukee,76th and Sheridan,http://www.gunviolencearchive.org/incident/537825,"43.1183, -88.0061",Congressional District: 4,NA,NA,NA,NA
2016-04-10,0,4,4,California,Los Angeles,84th Street and Towne Avenue,http://www.gunviolencearchive.org/incident/537820,"33.9628, -118.267",Congressional District: 43,NA,NA,NA,NA
2016-04-09,0,4,4,Tennessee,Memphis,Mt Moriah Road and Ridgeway Road,http://www.gunviolencearchive.org/incident/537311,"35.0724, -89.8635",Congressional District: 9,NA,NA,NA,NA
2016-04-09,0,4,4,Alabama,Anniston,West 15th Street and Crawford Avenue,http://www.gunviolencearchive.org/incident/539705,"33.6636, -85.8501",Congressional District: 3,NA,NA,NA,NA
2016-04-09,0,4,4,New Mexico,Albuquerque,2600 block of Mesa Drive SE,http://www.gunviolencearchive.org/incident/537085,"35.0558, -106.627",Congressional District: 1,NA,NA,NA,NA
2016-04-07,0,4,4,Illinois,Chicago,2200 block of East 70th Place,http://www.gunviolencearchive.org/incident/535927,"41.7674, -87.5709",Congressional District: 2,NA,NA,NA,NA
2016-03-31,0,4,4,Illinois,Chicago (Englewood),6800 block of South Throop,http://www.gunviolencearchive.org/incident/532604,"41.7704, -87.657",Congressional District: 7,NA,NA,NA,NA
2016-03-25,0,4,4,Illinois,Chicago,4500 block of West West End Avenue,http://www.gunviolencearchive.org/incident/528614,"41.8832, -87.738",Congressional District: 7,NA,NA,NA,NA
2016-03-25,0,4,4,Colorado,Denver,8501 E. Alameda Avenue,http://www.gunviolencearchive.org/incident/529488,"39.7123, -104.89",Congressional District: 1,NA,NA,NA,NA
2016-03-21,0,4,4,Illinois,Chicago,5700 block of West Washington Boulevard,http://www.gunviolencearchive.org/incident/526380,"41.8824, -87.7687",Congressional District: 7,NA,NA,NA,NA
2016-03-19,1,4,5,Florida,Plantation,12050 NW 4th Court,http://www.gunviolencearchive.org/incident/525464,"26.125, -80.3096",Congressional District: 22,NA,NA,NA,NA
2016-03-19,2,2,4,Alabama,Wetumpka,South Shelby Street,http://www.gunviolencearchive.org/incident/525301,"32.5382, -86.214",Congressional District: 2,NA,NA,NA,NA
2016-03-15,0,5,5,Georgia,Atlanta,Donald Lee Hollowell Drive,http://www.gunviolencearchive.org/incident/523044,"33.7766, -84.4565",Congressional District: 5,NA,NA,NA,NA
2016-03-13,0,4,4,Florida,Fort Myers,50 South Road,http://www.gunviolencearchive.org/incident/522122,"26.5769, -81.8674",Congressional District: 19,NA,NA,NA,NA
2016-03-12,0,4,4,Oregon,Portland,16126 S.E. Stark St.,http://www.gunviolencearchive.org/incident/521821,"45.5191, -122.497",Congressional District: 3,NA,NA,NA,NA
2016-03-12,0,4,4,California,Oakland,Interstate 880,http://www.gunviolencearchive.org/incident/521074,"37.7765, -122.236",Congressional District: 13,NA,NA,NA,NA
2016-03-11,2,2,4,Michigan,Detroit,2600 block of Hazelwood,http://www.gunviolencearchive.org/incident/520767,"42.3715, -83.1075",Congressional District: 13,NA,NA,Handgun,NA
2016-03-11,0,5,5,New Jersey,Trenton,Oliver Avenue,http://www.gunviolencearchive.org/incident/520290,"40.2386, -74.777",Congressional District: 12,NA,NA,NA,NA
2016-03-09,5,3,8,Pennsylvania,Pittsburgh,1304 Franklin Ave,http://www.gunviolencearchive.org/incident/519541,"40.4385, -79.8722",Congressional District: 14,Assault weapon,AR-15,NA,NA
2016-03-08,2,3,5,Texas,San Antonio,Sherman St,http://www.gunviolencearchive.org/incident/518266,"29.434, -98.4642",Congressional District: 35,NA,NA,NA,NA
2016-03-07,0,4,4,Louisiana,Lafayette,800 block of Martin Luther King Jr. Drive,http://www.gunviolencearchive.org/incident/517895,"30.2496, -92.0248",Congressional District: 3,NA,NA,NA,NA
2016-03-07,5,0,5,Kansas,Kansas City,3000 block of South 36th Street,http://www.gunviolencearchive.org/incident/518436,"39.0476, -94.6699",Congressional District: 3,NA,NA,NA,NA
2016-03-06,1,6,7,Massachusetts,Chelsea,120 Washington Avenue,http://www.gunviolencearchive.org/incident/517058,"42.397, -71.0318",Congressional District: 7,NA,NA,NA,NA
2016-03-06,0,4,4,Georgia,Roswell,890 Atlanta St,http://www.gunviolencearchive.org/incident/517114,"34.0228, -84.3619",Congressional District: 6,NA,NA,NA,NA
2016-03-06,1,8,9,California,Compton,900 block of West Victoria Street,http://www.gunviolencearchive.org/incident/517073,"33.8678, -118.239",Congressional District: 44,NA,NA,NA,NA
2016-03-05,0,4,4,Kansas,Wichita,116 North Mead,http://www.gunviolencearchive.org/incident/516758,"37.6856, -97.3287",Congressional District: 4,NA,NA,NA,NA
2016-03-04,1,3,4,Ohio,Columbus,900 E 5th Ave,http://www.gunviolencearchive.org/incident/516341,"39.9864, -82.9801",Congressional District: 3,NA,NA,NA,NA
2016-02-28,0,5,5,Michigan,Detroit,8800 block of Livernois,http://www.gunviolencearchive.org/incident/513549,"42.3594, -83.1384",Congressional District: 13,NA,NA,NA,NA
2016-02-28,1,3,4,California,Riverside (Jurupa Valley),5500 block of Etiwanda Avenue,http://www.gunviolencearchive.org/incident/513640,"33.9882, -117.523",Congressional District: 41,NA,NA,NA,NA
2016-02-27,2,2,4,Virginia,Woodbridge (Lake Ridge),13051 Lashmere Ct,http://www.gunviolencearchive.org/incident/512880,"38.6697, -77.3524",Congressional District: 11,NA,NA,NA,NA
2016-02-26,5,0,5,Washington,Belfair,300 block of Horseshoe Rd.,http://www.gunviolencearchive.org/incident/512073,"47.5033, -122.931",Congressional District: 6,NA,NA,handgun,NA
2016-02-25,4,14,18,Kansas,Hesston,200 S Ridge Rd,http://www.gunviolencearchive.org/incident/511436,"38.1368, -97.4268",Congressional District: 4,Assault weapon,AR-15,NA,NA
2016-02-23,5,0,5,Arizona,Glendale,4812 West Sunnyside Ave,http://www.gunviolencearchive.org/incident/509897,"33.5927, -112.163",Congressional District: 8,NA,NA,NA,NA
2016-02-23,0,4,4,Florida,Daytona Beach,1042 Sheridan Road,http://www.gunviolencearchive.org/incident/510769,"29.2089, -81.0451",Congressional District: 6,NA,NA,Handgun,NA
2016-02-21,1,3,4,Missouri,Hazelwood,Interstate Highway 270 and North Lindbergh Boulevard,http://www.gunviolencearchive.org/incident/508879,"38.7736, -90.3626",Congressional District: 1,NA,NA,NA,NA
2016-02-21,0,5,5,Texas,Houston,5100 block of Idaho Street,http://www.gunviolencearchive.org/incident/509707,"29.6872, -95.3438",Congressional District: 18,NA,NA,NA,NA
2016-02-20,1,3,4,Florida,Tampa,2810 E. Bearss Ave,http://www.gunviolencearchive.org/incident/508341,"28.0805, -82.4283",Congressional District: 15,NA,NA,NA,NA
2016-02-20,6,2,8,Michigan,Kalamazoo,5581 Cracker Barrel Blvd,http://www.gunviolencearchive.org/incident/508640,"42.2354, -85.676",Congressional District: 6,NA,NA,NA,9mm
2016-02-20,2,3,5,Mississippi,Iuka,231 Co Rd 201,http://www.gunviolencearchive.org/incident/508113,"34.7543, -88.1406",Congressional District: 1,NA,NA,NA,NA
2016-02-20,1,3,4,Alabama,Bessemer,200 block of Elm Street,http://www.gunviolencearchive.org/incident/508356,"33.3731, -86.9759",Congressional District: 7,NA,NA,Handgun,NA
2016-02-20,0,4,4,Florida,Orlando,446 S Parramore Ave,http://www.gunviolencearchive.org/incident/508510,"28.537, -81.389",Congressional District: 5,NA,NA,NA,NA
2016-02-19,4,0,4,Missouri,Edgerton,4100 block of Buena Vista Road,http://www.gunviolencearchive.org/incident/590221,"39.4922, -94.6372",Congressional District: 6,NA,NA,NA,NA
2016-02-19,1,3,4,California,Vallejo,509 Porter Street,http://www.gunviolencearchive.org/incident/507998,"38.0883, -122.245",Congressional District: 5,NA,NA,NA,NA
2016-02-14,1,3,4,Texas,Houston,8449 Gulf Freeway,http://www.gunviolencearchive.org/incident/504879,"29.6742, -95.2657",Congressional District: 29,NA,NA,Handgun,NA
2016-02-14,0,5,5,Alabama,Eutaw (Union),Earnest Friday Road,http://www.gunviolencearchive.org/incident/505420,"32.9921, -87.9156",Congressional District: 7,NA,NA,NA,NA
2016-02-13,0,4,4,Louisiana,Marrero,5425 Lapalco Boulevard,http://www.gunviolencearchive.org/incident/504996,"29.8773, -90.1087",Congressional District: 2,NA,NA,NA,9mm
2016-02-07,2,4,6,Mississippi,Pass Christian,Davis Avenue,http://www.gunviolencearchive.org/incident/501256,"30.3226, -89.2447",Congressional District: 4,NA,NA,NA,NA
2016-02-07,2,10,12,Florida,Orlando,7432 Universal Blvd,http://www.gunviolencearchive.org/incident/501233,"28.4541, -81.4646",Congressional District: 10,NA,NA,NA,NA
2016-02-07,1,7,8,New York,Rochester,547 State St,http://www.gunviolencearchive.org/incident/501168,"43.1634, -77.622",Congressional District: 25,NA,NA,NA,9mm
2016-02-07,0,4,4,Illinois,Chicago (Englewood),6500 block of South Green Street,http://www.gunviolencearchive.org/incident/501349,"41.776, -87.6462",Congressional District: 1,NA,NA,NA,NA
2016-02-06,1,3,4,California,Los Angeles,12800 block of Cook Street,http://www.gunviolencearchive.org/incident/501267,"33.9164, -118.271",Congressional District: 44,NA,NA,NA,NA
2016-02-06,0,4,4,Florida,Apopka,10th Street,http://www.gunviolencearchive.org/incident/500629,"28.6658, -81.5031",Congressional District: 5,NA,NA,NA,NA
2016-02-06,2,6,8,Florida,Tampa,8123 N Nebraska Ave,http://www.gunviolencearchive.org/incident/500556,"28.0216, -82.4512",Congressional District: 14,NA,NA,NA,NA
2016-02-03,0,4,4,District of Columbia,Washington,1500 block of Butler St. SE,http://www.gunviolencearchive.org/incident/499422,"38.8612, -76.9839",Congressional District: 1,NA,NA,NA,NA
2016-01-30,3,5,8,Arizona,Glendale,67th and Missouri Avenue,http://www.gunviolencearchive.org/incident/495940,"33.5166, -112.203",Congressional District: 7,NA,NA,NA,NA
2016-01-27,6,0,6,Virginia,Chesapeake,1401 N. George Washington Hwy,http://www.gunviolencearchive.org/incident/494378,"36.7921, -76.3293",Congressional District: 4,NA,NA,NA,NA
2016-01-26,2,3,5,Washington,Seattle,Airport Way S. and S. Atlantic St.,http://www.gunviolencearchive.org/incident/493536,"47.5903, -122.323",Congressional District: 7,NA,NA,NA,NA
2016-01-25,1,4,5,California,Perris,140 S. D Street,http://www.gunviolencearchive.org/incident/493085,"33.7849, -117.229",Congressional District: 41,NA,NA,NA,NA
2016-01-23,2,2,4,California,Los Angeles,8105 Avalon Blvd,http://www.gunviolencearchive.org/incident/491312,"33.9655, -118.265",Congressional District: 40,Assault weapon,AR-15,NA,NA
2016-01-17,1,3,4,Virginia,Ware Neck (Gloucester Courthouse),Ditchley Road and Gill Lane,http://www.gunviolencearchive.org/incident/486728,"37.4001, -76.4373",Congressional District: 1,NA,NA,NA,NA
2016-01-11,1,4,5,Delaware,Wilmington,900 block of Brown Street,http://www.gunviolencearchive.org/incident/483750,"39.7351, -75.5672",Congressional District: 1,NA,NA,NA,NA
