date,state,city,killed,injured,incident,victims,geolocation,congresional_district,assault_weapon,rifle,handgun_general,handgun_specific
2013-09-27,Ohio,Zanesville,0,4,http://www.gunviolencearchive.org/incident/480720,4,"39.9272, -82.0073",Congressional District: 12,NA,NA,Handgun,NA
2013-09-25,North Carolina,Haw River,0,4,http://www.gunviolencearchive.org/incident/480700,4,"36.0934, -79.3526",Congressional District: 4,NA,NA,NA,NA
2013-09-24,West Virginia,Huntington,0,6,http://www.gunviolencearchive.org/incident/480691,6,"38.4136, -82.4609",Congressional District: 3,NA,NA,Handgun,NA
2013-09-22,Missouri,Saint Louis,1,3,http://www.gunviolencearchive.org/incident/480661,4,"38.662, -90.2062",Congressional District: 1,NA,NA,NA,NA
2013-09-22,Kansas,Wichita,1,6,http://www.gunviolencearchive.org/incident/480646,7,"37.6861, -97.3288",Congressional District: 4,NA,NA,NA,NA
2013-09-22,Michigan,Muskegon,2,4,http://www.gunviolencearchive.org/incident/480669,6,"43.2489, -86.2368",Congressional District: 2,NA,NA,NA,NA
2013-09-21,Florida,Palm Beach,0,4,http://www.gunviolencearchive.org/incident/480632,4,"26.6552, -80.062",Congressional District: 20,NA,NA,NA,NA
2013-09-20,Texas,Rice,5,0,http://www.gunviolencearchive.org/incident/480605,5,"32.2337, -96.4661",Congressional District: 6,NA,NA,NA,22 LR
2013-09-20,California,Long Beach,2,2,http://www.gunviolencearchive.org/incident/480582,4,"33.8728, -118.171",Congressional District: 44,NA,NA,NA,NA
2013-09-19,Illinois,Chicago,0,12,http://www.gunviolencearchive.org/incident/480521,12,"41.803, -87.6699",Congressional District: 3,NA,AK-47,NA,NA
2013-09-18,Tennessee,Memphis,1,4,http://www.gunviolencearchive.org/incident/480470,5,"35.0411, -90.0292",Congressional District: 9,NA,NA,NA,NA
2013-09-17,Florida,Kissimmee,0,5,http://www.gunviolencearchive.org/incident/480462,5,"28.3107, -81.4488",Congressional District: 9,NA,NA,NA,NA
2013-09-17,Nevada,Las Vegas,0,4,http://www.gunviolencearchive.org/incident/480453,4,"36.2003, -115.159",Congressional District: 4,NA,NA,NA,NA
2013-09-17,Michigan,Lansing,0,4,http://www.gunviolencearchive.org/incident/480415,4,"42.7349, -84.573",Congressional District: 8,NA,NA,NA,NA
2013-09-17,California,Stockton,2,3,http://www.gunviolencearchive.org/incident/480394,5,"37.9625, -121.276",Congressional District: 9,NA,NA,NA,NA
2013-09-16,District of Columbia,Washington Navy Yard,11,3,http://www.gunviolencearchive.org/incident/480366,14,"38.873, -76.9977",Congressional District: 1,NA,NA,NA,9mm
2013-09-15,Colorado,Colorado Springs,0,5,http://www.gunviolencearchive.org/incident/480104,5,"38.8111, -104.822",Congressional District: 5,NA,NA,NA,NA
2013-09-15,Washington,Yakima,0,6,http://www.gunviolencearchive.org/incident/480071,6,"46.5854, -120.538",Congressional District: 4,NA,NA,NA,NA
2013-09-15,Georgia,Snellville,3,1,http://www.gunviolencearchive.org/incident/480058,4,"33.7709, -84.05",Congressional District: 4,NA,NA,NA,NA
2013-09-14,North Carolina,Marion,0,4,http://www.gunviolencearchive.org/incident/479821,4,"35.6864, -82.0201",Congressional District: 11,NA,NA,NA,40 SW
2013-09-12,District of Columbia,Washington,1,3,http://www.gunviolencearchive.org/incident/479757,4,"38.9047, -77.0122",Congressional District: 1,NA,NA,NA,NA
2013-09-12,Tennessee,Crab Orchard,4,0,http://www.gunviolencearchive.org/incident/479747,4,"35.9576, -84.8407",Congressional District: 6,NA,NA,NA,NA
2013-09-11,New York,New York,0,4,http://www.gunviolencearchive.org/incident/479774,4,"40.7283, -74.0048",Congressional District: 10,NA,NA,NA,NA
2013-09-10,Connecticut,Bridgeport,1,4,http://www.gunviolencearchive.org/incident/479734,5,"41.2205, -73.1929",Congressional District: 4,NA,NA,NA,NA
2013-09-07,Indiana,Gary,2,4,http://www.gunviolencearchive.org/incident/479709,6,"41.5971, -87.2256",Congressional District: 1,NA,NA,NA,NA
2013-09-07,Missouri,Saint Louis,1,3,http://www.gunviolencearchive.org/incident/479727,4,"38.688, -90.2456",Congressional District: 1,NA,NA,NA,NA
2013-09-05,North Carolina,Charlotte,0,4,http://www.gunviolencearchive.org/incident/479682,4,"35.2406, -80.8095",Congressional District: 12,NA,NA,NA,NA
2013-08-25,California,Oakland,0,4,http://www.gunviolencearchive.org/incident/479646,4,"37.7389, -122.169",Congressional District: 13,NA,NA,NA,NA
2013-08-25,Florida,Lake Butler,4,1,http://www.gunviolencearchive.org/incident/492276,5,"30.0194, -82.3278",Congressional District: 3,NA,NA,NA,22 LR
2013-08-25,Minnesota,Minneapolis,2,2,http://www.gunviolencearchive.org/incident/492270,4,"44.9553, -93.2489",Congressional District: 5,NA,NA,NA,9mm
2013-08-25,South Carolina,Latta,1,3,http://www.gunviolencearchive.org/incident/492260,4,"34.3305, -79.4333",Congressional District: 7,NA,NA,NA,NA
