date,state,city,killed,injured,incident,victims
2013-07-13,New Jersey,Trenton (Hamilton Township),1,4,http://www.gunviolencearchive.org/incident/490932,5
2013-07-12,Kentucky,Greensburg,2,2,http://www.gunviolencearchive.org/incident/490954,4
2013-07-12,California,San Francisco,1,3,http://www.gunviolencearchive.org/incident/490943,4
2013-07-11,North Carolina,Charlotte,2,2,http://www.gunviolencearchive.org/incident/490922,4
2013-07-09,Illinois,Rockford,2,2,http://www.gunviolencearchive.org/incident/490917,4
2013-07-09,Maryland,Baltimore,0,4,http://www.gunviolencearchive.org/incident/490909,4
2013-07-07,Florida,Pompano Beach,1,3,http://www.gunviolencearchive.org/incident/490793,4
2013-07-07,California,Stockton,1,4,http://www.gunviolencearchive.org/incident/490893,5
2013-07-07,Mississippi,Meridian,0,4,http://www.gunviolencearchive.org/incident/490767,4
2013-07-07,Illinois,Chicago,0,5,http://www.gunviolencearchive.org/incident/490772,5
2013-07-06,Alabama,Florence,0,4,http://www.gunviolencearchive.org/incident/490395,4
2013-07-06,New York,Brooklyn,1,3,http://www.gunviolencearchive.org/incident/490750,4
2013-07-04,Michigan,Pontiac,1,6,http://www.gunviolencearchive.org/incident/490351,7
2013-07-04,Illinois,Chicago,0,4,http://www.gunviolencearchive.org/incident/490335,4
2013-07-01,Texas,Fort Worth,4,0,http://www.gunviolencearchive.org/incident/490245,4
2013-06-30,New York,Brooklyn,0,9,http://www.gunviolencearchive.org/incident/490226,9
2013-06-30,Colorado,Aurora,0,4,http://www.gunviolencearchive.org/incident/490166,4
2013-06-29,South Carolina,North Charleston,3,1,http://www.gunviolencearchive.org/incident/490150,4
2013-06-28,Illinois,Chicago,0,6,http://www.gunviolencearchive.org/incident/490115,6
2013-06-27,California,Three Rivers,2,2,http://www.gunviolencearchive.org/incident/490048,4
2013-06-25,Illinois,Chicago,1,4,http://www.gunviolencearchive.org/incident/489987,5
2013-06-24,Missouri,Kansas City,1,3,http://www.gunviolencearchive.org/incident/489934,4
2013-06-23,Virginia,Virginia Beach,1,4,http://www.gunviolencearchive.org/incident/489129,5
2013-06-23,Louisiana,New Orleans,0,4,http://www.gunviolencearchive.org/incident/489121,4
2013-06-23,Missouri,Kansas City,1,8,http://www.gunviolencearchive.org/incident/489105,9
2013-06-23,California,Sacramento,1,3,http://www.gunviolencearchive.org/incident/489096,4
2013-06-23,Tennessee,Chattanooga,1,4,http://www.gunviolencearchive.org/incident/489061,5
2013-06-22,Rhode Island,Providence,0,4,http://www.gunviolencearchive.org/incident/488970,4
2013-06-22,Maryland,Baltimore,1,4,http://www.gunviolencearchive.org/incident/488833,5
2013-06-21,Illinois,Chicago,1,3,http://www.gunviolencearchive.org/incident/488426,4
2013-06-21,North Carolina,Greenville,0,5,http://www.gunviolencearchive.org/incident/488547,5
2013-06-21,Virginia,Norfolk,0,6,http://www.gunviolencearchive.org/incident/488505,6
2013-06-16,Illinois,Chicago,1,3,http://www.gunviolencearchive.org/incident/488134,4
2013-06-15,Texas,Houston,1,3,http://www.gunviolencearchive.org/incident/487891,4
2013-06-15,Tennessee,Nashville,0,4,http://www.gunviolencearchive.org/incident/487833,4
2013-06-15,Rhode Island,Providence,1,3,http://www.gunviolencearchive.org/incident/488992,4
2013-06-14,North Carolina,High Point,0,5,http://www.gunviolencearchive.org/incident/487715,5
2013-06-10,Illinois,Chicago,1,4,http://www.gunviolencearchive.org/incident/487670,5
2013-06-10,Missouri,Saint Louis,0,6,http://www.gunviolencearchive.org/incident/487659,6
2013-06-09,Pennsylvania,York,0,4,http://www.gunviolencearchive.org/incident/487645,4
2013-06-07,California,Santa Monica,6,1,http://www.gunviolencearchive.org/incident/489581,7
2013-06-02,Georgia,Lagrange,0,7,http://www.gunviolencearchive.org/incident/487435,7
2013-06-02,Virginia,Virginia Beach,0,7,http://www.gunviolencearchive.org/incident/487271,7
2013-06-02,Indiana,Indianapolis,0,4,http://www.gunviolencearchive.org/incident/487266,4
2013-06-01,California,Vallejo,2,2,http://www.gunviolencearchive.org/incident/489314,4
2013-06-01,Wisconsin,Milwaukee,0,4,http://www.gunviolencearchive.org/incident/487261,4
2013-05-31,Georgia,Atlanta,0,4,http://www.gunviolencearchive.org/incident/487088,4
2013-05-29,Illinois,Chicago,0,4,http://www.gunviolencearchive.org/incident/487082,4
2013-05-28,Tennessee,Memphis,1,3,http://www.gunviolencearchive.org/incident/487052,4
